Timestamp,Temperature (Â°C),Precipitation (mm)
2025-02-24T00:00,6.0,0.0
2025-02-24T01:00,5.4,0.0
2025-02-24T02:00,5.4,0.0
2025-02-24T03:00,4.6,0.0
2025-02-24T04:00,4.3,0.0
2025-02-24T05:00,3.8,0.0
2025-02-24T06:00,3.4,0.0
2025-02-24T07:00,2.8,0.0
2025-02-24T08:00,1.7,0.0
2025-02-24T09:00,1.6,0.0
2025-02-24T10:00,0.5,0.0
2025-02-24T11:00,-0.2,0.0
2025-02-24T12:00,-0.3,0.0
2025-02-24T13:00,2.5,0.0
2025-02-24T14:00,5.0,0.0
2025-02-24T15:00,6.6,0.0
2025-02-24T16:00,7.9,0.0
2025-02-24T17:00,9.0,0.0
2025-02-24T18:00,9.1,0.0
2025-02-24T19:00,9.7,0.0
2025-02-24T20:00,9.2,0.0
2025-02-24T21:00,8.5,0.0
2025-02-24T22:00,7.6,0.0
2025-02-24T23:00,5.9,0.0
2025-02-25T00:00,5.3,0.0
2025-02-25T01:00,5.1,0.0
2025-02-25T02:00,5.1,0.0
2025-02-25T03:00,5.3,0.0
2025-02-25T04:00,5.1,0.0
2025-02-25T05:00,4.4,0.0
2025-02-25T06:00,3.9,0.0
2025-02-25T07:00,3.4,0.0
2025-02-25T08:00,3.2,0.0
2025-02-25T09:00,3.0,0.0
2025-02-25T10:00,3.2,0.0
2025-02-25T11:00,3.2,0.0
2025-02-25T12:00,2.9,0.0
2025-02-25T13:00,4.1,0.0
2025-02-25T14:00,4.6,0.0
2025-02-25T15:00,6.9,0.0
2025-02-25T16:00,9.4,0.0
2025-02-25T17:00,11.2,0.0
2025-02-25T18:00,12.3,0.0
2025-02-25T19:00,13.3,0.0
2025-02-25T20:00,13.9,0.0
2025-02-25T21:00,13.8,0.0
2025-02-25T22:00,11.6,0.0
2025-02-25T23:00,10.1,0.0
2025-02-26T00:00,9.2,0.0
2025-02-26T01:00,7.2,0.0
2025-02-26T02:00,6.0,0.0
2025-02-26T03:00,5.2,0.0
2025-02-26T04:00,4.3,0.0
2025-02-26T05:00,3.8,0.0
2025-02-26T06:00,3.4,0.0
2025-02-26T07:00,3.0,0.0
2025-02-26T08:00,2.9,0.0
2025-02-26T09:00,2.5,0.0
2025-02-26T10:00,1.9,0.0
2025-02-26T11:00,2.1,0.0
2025-02-26T12:00,1.8,0.0
2025-02-26T13:00,3.5,0.0
2025-02-26T14:00,4.4,0.0
2025-02-26T15:00,5.2,0.0
2025-02-26T16:00,6.2,0.0
2025-02-26T17:00,7.1,0.0
2025-02-26T18:00,8.0,0.0
2025-02-26T19:00,8.8,0.0
2025-02-26T20:00,9.4,0.0
2025-02-26T21:00,9.5,0.0
2025-02-26T22:00,9.1,0.0
2025-02-26T23:00,8.1,0.0
2025-02-27T00:00,7.4,0.0
2025-02-27T01:00,6.8,0.0
2025-02-27T02:00,6.1,0.0
2025-02-27T03:00,5.4,0.0
2025-02-27T04:00,5.2,0.0
2025-02-27T05:00,4.9,0.0
2025-02-27T06:00,4.8,0.0
2025-02-27T07:00,4.8,0.0
2025-02-27T08:00,4.9,0.0
2025-02-27T09:00,5.6,0.0
2025-02-27T10:00,5.9,0.0
2025-02-27T11:00,6.0,0.0
2025-02-27T12:00,6.7,0.0
2025-02-27T13:00,7.9,0.0
2025-02-27T14:00,8.4,0.0
2025-02-27T15:00,8.2,0.2
2025-02-27T16:00,8.0,0.6
2025-02-27T17:00,8.3,0.3
2025-02-27T18:00,10.0,0.0
2025-02-27T19:00,9.5,0.3
2025-02-27T20:00,9.2,0.1
2025-02-27T21:00,8.7,0.3
2025-02-27T22:00,8.5,0.0
2025-02-27T23:00,8.1,0.0
2025-02-28T00:00,7.8,0.1
2025-02-28T01:00,7.8,0.1
2025-02-28T02:00,7.5,0.0
2025-02-28T03:00,6.6,0.0
2025-02-28T04:00,6.0,0.0
2025-02-28T05:00,5.5,0.0
2025-02-28T06:00,5.0,0.0
2025-02-28T07:00,4.7,0.0
2025-02-28T08:00,4.2,0.0
2025-02-28T09:00,3.8,0.0
2025-02-28T10:00,3.4,0.0
2025-02-28T11:00,2.8,0.0
2025-02-28T12:00,2.5,0.0
2025-02-28T13:00,2.8,0.0
2025-02-28T14:00,3.7,0.0
2025-02-28T15:00,5.0,0.0
2025-02-28T16:00,5.8,0.1
2025-02-28T17:00,6.1,0.1
2025-02-28T18:00,6.1,0.0
2025-02-28T19:00,5.1,0.0
2025-02-28T20:00,4.0,0.0
2025-02-28T21:00,3.2,0.0
2025-02-28T22:00,2.4,0.0
2025-02-28T23:00,1.3,0.0
2025-03-01T00:00,-0.3,0.0
2025-03-01T01:00,-1.5,0.0
2025-03-01T02:00,-2.1,0.0
2025-03-01T03:00,-2.6,0.0
2025-03-01T04:00,-2.8,0.0
2025-03-01T05:00,-2.9,0.0
2025-03-01T06:00,-3.0,0.0
2025-03-01T07:00,-3.0,0.0
2025-03-01T08:00,-3.0,0.0
2025-03-01T09:00,-2.9,0.0
2025-03-01T10:00,-2.7,0.0
2025-03-01T11:00,-2.6,0.0
2025-03-01T12:00,-2.4,0.0
2025-03-01T13:00,-2.2,0.0
2025-03-01T14:00,-1.9,0.0
2025-03-01T15:00,-1.7,0.0
2025-03-01T16:00,-1.6,0.3
2025-03-01T17:00,-1.5,0.3
2025-03-01T18:00,-1.5,0.3
2025-03-01T19:00,-1.6,0.3
2025-03-01T20:00,-1.6,0.3
2025-03-01T21:00,-1.7,0.3
2025-03-01T22:00,-1.7,0.1
2025-03-01T23:00,-1.7,0.1
2025-03-02T00:00,-1.8,0.1
2025-03-02T01:00,-2.1,0.1
2025-03-02T02:00,-2.6,0.1
2025-03-02T03:00,-3.0,0.1
2025-03-02T04:00,-3.1,0.1
2025-03-02T05:00,-3.1,0.1
2025-03-02T06:00,-3.2,0.1
2025-03-02T07:00,-3.5,0.0
2025-03-02T08:00,-3.8,0.0
2025-03-02T09:00,-4.1,0.0
2025-03-02T10:00,-4.6,0.0
2025-03-02T11:00,-5.1,0.0
2025-03-02T12:00,-5.3,0.0
2025-03-02T13:00,-5.2,0.0
2025-03-02T14:00,-4.8,0.0
2025-03-02T15:00,-4.3,0.0
2025-03-02T16:00,-3.5,0.0
2025-03-02T17:00,-2.6,0.0
2025-03-02T18:00,-1.9,0.0
2025-03-02T19:00,-1.6,0.0
2025-03-02T20:00,-1.5,0.0
2025-03-02T21:00,-1.7,0.0
2025-03-02T22:00,-2.2,0.0
2025-03-02T23:00,-2.9,0.0
